# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_34 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_34 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_34 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_34 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_34 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_34 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_34 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_34
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_34
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_34 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_34 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_34 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_34 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_34 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_34 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_34 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_34
RatioPlotYLabel=Ratio
Scale=1000.0
XLabel=$\sqrt{d_{34}}$ (GeV)
LegendAlign=r
XMax=3.0
YLabel=$ \text{d} \sigma / \sqrt{d_{34}}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/log10_d_34
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_34
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_34
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.361292e-01	5.877849e-01	1.218718e-01	3.753180e-02
2.361291e-01	2.722583e-01	5.276654e-01	1.057460e-01	5.270751e-02
2.722583e-01	3.083875e-01	4.761065e-01	8.265775e-02	2.543158e-02
3.083874e-01	3.445165e-01	4.268138e-01	5.852789e-02	2.705548e-02
3.445165e-01	3.806457e-01	3.844245e-01	3.827181e-02	1.263050e-02
3.806457e-01	4.167748e-01	3.490760e-01	1.870155e-02	1.030582e-02
4.167748e-01	4.529039e-01	3.221212e-01	9.595312e-03	0.000000e+00
4.529039e-01	4.890331e-01	2.988364e-01	5.076503e-03	8.580317e-06
4.890331e-01	5.251621e-01	2.839902e-01	1.216274e-02	1.290594e-02
5.251623e-01	5.612913e-01	2.729233e-01	1.579475e-02	1.493469e-02
5.612913e-01	5.974205e-01	2.734621e-01	3.316727e-02	1.168675e-02
5.974204e-01	6.335495e-01	2.358421e-01	3.012677e-02	3.758920e-02
6.335497e-01	6.696787e-01	2.176973e-01	2.273500e-02	3.650550e-02
6.696787e-01	7.058079e-01	1.974216e-01	2.353016e-02	3.602491e-02
7.058080e-01	7.419370e-01	1.693011e-01	2.187237e-02	3.771591e-02
7.419370e-01	7.780660e-01	1.452097e-01	2.237656e-02	3.318710e-02
7.780661e-01	8.141953e-01	1.215962e-01	1.827239e-02	3.187256e-02
8.141954e-01	8.503245e-01	1.036423e-01	1.366549e-02	2.509099e-02
8.503244e-01	8.864534e-01	8.243773e-02	1.653529e-02	2.081397e-02
8.864535e-01	9.225827e-01	6.396986e-02	1.241827e-02	2.013197e-02
9.225828e-01	9.587118e-01	4.914548e-02	7.816082e-03	1.824471e-02
9.587118e-01	9.948408e-01	4.034476e-02	6.990653e-03	1.185972e-02
9.948404e-01	1.030970e+00	3.170879e-02	7.095181e-03	9.915581e-03
1.030970e+00	1.067098e+00	2.401044e-02	5.136406e-03	7.434161e-03
1.067100e+00	1.103228e+00	1.793700e-02	6.217086e-03	5.894434e-03
1.103229e+00	1.139358e+00	1.369562e-02	2.848485e-03	4.812624e-03
1.139357e+00	1.175487e+00	1.018389e-02	2.531675e-03	3.635790e-03
1.175487e+00	1.211615e+00	7.763777e-03	1.955717e-03	2.651109e-03
1.211617e+00	1.247745e+00	5.543633e-03	1.103114e-03	2.116394e-03
1.247746e+00	1.283875e+00	4.006200e-03	8.794154e-04	2.039697e-03
1.283874e+00	1.320002e+00	3.216596e-03	8.864284e-04	5.999612e-04
1.320002e+00	1.356131e+00	2.225621e-03	4.931902e-04	9.846171e-04
1.356132e+00	1.392261e+00	1.664802e-03	3.983855e-04	6.294085e-04
1.392261e+00	1.428391e+00	1.081699e-03	1.996128e-04	6.269554e-04
1.428391e+00	1.464519e+00	8.100628e-04	1.626156e-04	4.303778e-04
1.464519e+00	1.500648e+00	6.332063e-04	1.481671e-04	3.104733e-04
1.500649e+00	1.536778e+00	3.674489e-04	0.000000e+00	2.494749e-04
1.536778e+00	1.572906e+00	3.472656e-04	1.206248e-04	7.556201e-05
1.572906e+00	1.609035e+00	2.396830e-04	7.230878e-05	4.300706e-05
1.609036e+00	1.645165e+00	1.649121e-04	3.992964e-05	1.165180e-04
1.645165e+00	1.681293e+00	1.159343e-04	1.831551e-05	6.494052e-05
1.681294e+00	1.717424e+00	8.038087e-05	8.161030e-06	4.599906e-05
1.717423e+00	1.753552e+00	7.801434e-05	2.946237e-05	1.595284e-05
1.753553e+00	1.789682e+00	3.821606e-05	0.000000e+00	2.623848e-05
1.789682e+00	1.825811e+00	3.347139e-05	2.291788e-07	8.116748e-07
1.825812e+00	1.861940e+00	2.098698e-05	0.000000e+00	1.795755e-05
1.861940e+00	1.898069e+00	1.718434e-05	6.707437e-06	8.922151e-06
1.898069e+00	1.934198e+00	1.344026e-05	1.363879e-06	4.461685e-06
1.934198e+00	1.970328e+00	9.420864e-06	2.452477e-06	1.245186e-05
1.970329e+00	2.006458e+00	7.807484e-06	1.076942e-05	6.551645e-06
2.006458e+00	2.042587e+00	1.837840e-05	1.484566e-05	0.000000e+00
2.042585e+00	2.078714e+00	2.501207e-06	7.259190e-06	0.000000e+00
2.078715e+00	2.114844e+00	3.210656e-07	0.000000e+00	2.680050e-06
2.114845e+00	2.150974e+00	1.479408e-06	7.047214e-07	5.119685e-07
2.150972e+00	2.187101e+00	1.040863e-06	0.000000e+00	1.207472e-06
2.187102e+00	2.223231e+00	1.188539e-06	9.427520e-07	4.910022e-07
2.223231e+00	2.259361e+00	2.598853e-07	0.000000e+00	2.561969e-07
2.259362e+00	2.295491e+00	6.284923e-07	3.755160e-07	1.390822e-08
