# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass_fine
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass_fine
XLabel=$m_{j_1j_4}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_4}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/j1j4_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	8.674615e-10
2.000000e+01	2.400000e+01	8.931780e-08	1.492663e-08	7.630450e-09
2.400000e+01	2.800000e+01	5.159542e-07	0.000000e+00	9.465373e-07
2.800000e+01	3.200000e+01	2.865065e-06	0.000000e+00	2.833528e-06
3.200000e+01	3.600000e+01	8.490792e-06	3.482255e-06	1.593620e-06
3.600000e+01	4.000000e+01	1.658143e-05	0.000000e+00	3.810273e-06
4.000000e+01	4.400000e+01	2.295760e-05	1.203892e-06	7.159403e-06
4.400000e+01	4.800000e+01	3.990270e-05	6.885250e-06	0.000000e+00
4.800000e+01	5.200000e+01	3.947748e-05	3.049750e-07	8.595275e-06
5.200000e+01	5.600000e+01	4.738805e-05	6.675475e-06	4.518025e-06
5.600000e+01	6.000000e+01	4.631412e-05	4.292325e-06	2.043585e-05
6.000000e+01	6.400000e+01	5.073427e-05	1.114300e-06	1.770608e-05
6.400000e+01	6.800000e+01	5.344533e-05	3.018892e-05	1.480787e-05
6.800000e+01	7.200000e+01	5.476747e-05	4.190750e-06	1.418068e-05
7.200000e+01	7.600000e+01	1.041670e-04	5.439082e-05	0.000000e+00
7.600000e+01	8.000000e+01	7.303735e-05	1.247137e-05	4.172400e-06
8.000000e+01	8.400000e+01	7.047110e-05	8.515900e-06	1.786950e-06
8.400000e+01	8.800000e+01	6.129108e-05	3.317925e-06	3.148267e-05
8.800000e+01	9.200000e+01	6.840187e-05	5.022475e-06	2.335222e-05
9.200000e+01	9.600000e+01	6.598470e-05	7.488625e-06	5.999150e-06
9.600000e+01	1.000000e+02	5.690158e-05	3.506725e-06	1.844710e-05
1.000000e+02	1.040000e+02	6.600030e-05	1.531555e-05	3.931525e-06
1.040000e+02	1.080000e+02	5.291082e-05	2.157675e-06	1.808603e-05
1.080000e+02	1.120000e+02	6.122613e-05	9.659275e-06	1.356392e-05
1.120000e+02	1.160000e+02	5.022807e-05	5.443100e-06	6.588400e-06
1.160000e+02	1.200000e+02	4.745217e-05	2.519875e-06	3.366432e-05
1.200000e+02	1.240000e+02	5.937298e-05	2.398095e-05	5.865877e-05
1.240000e+02	1.280000e+02	3.467770e-05	1.107595e-05	2.697552e-05
1.280000e+02	1.320000e+02	3.788185e-05	0.000000e+00	1.481985e-05
1.320000e+02	1.360000e+02	5.333663e-05	1.517575e-05	0.000000e+00
1.360000e+02	1.400000e+02	3.147022e-05	2.991825e-06	1.912665e-05
1.400000e+02	1.440000e+02	3.500793e-05	0.000000e+00	3.839783e-05
1.440000e+02	1.480000e+02	3.721832e-05	9.584600e-06	2.963010e-05
1.480000e+02	1.520000e+02	4.075782e-05	1.520980e-05	0.000000e+00
1.520000e+02	1.560000e+02	3.493323e-05	1.886125e-06	6.125300e-06
1.560000e+02	1.600000e+02	2.997090e-05	6.582363e-06	4.469975e-06
1.600000e+02	1.640000e+02	2.779360e-05	3.496578e-06	1.104225e-05
1.640000e+02	1.680000e+02	2.224380e-05	2.902842e-06	9.729370e-06
1.680000e+02	1.720000e+02	2.681965e-05	4.717250e-07	0.000000e+00
1.720000e+02	1.760000e+02	3.347868e-05	1.420796e-05	0.000000e+00
1.760000e+02	1.800000e+02	2.075307e-05	0.000000e+00	7.775785e-06
1.800000e+02	1.840000e+02	3.565558e-05	1.861268e-05	0.000000e+00
1.840000e+02	1.880000e+02	2.798190e-05	1.012951e-05	0.000000e+00
1.880000e+02	1.920000e+02	1.914919e-05	4.903840e-06	0.000000e+00
1.920000e+02	1.960000e+02	1.960677e-05	4.053618e-06	6.757835e-06
1.960000e+02	2.000000e+02	1.499381e-05	1.531795e-06	1.540919e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass_fine
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	2.000135e-10
2.000000e+01	2.400000e+01	4.980800e-08	0.000000e+00	3.837213e-08
2.400000e+01	2.800000e+01	1.393427e-06	4.283232e-07	0.000000e+00
2.800000e+01	3.200000e+01	3.673295e-06	0.000000e+00	8.342100e-07
3.200000e+01	3.600000e+01	9.921522e-06	1.680102e-06	2.609325e-07
3.600000e+01	4.000000e+01	1.735418e-05	2.478255e-06	3.886285e-06
4.000000e+01	4.400000e+01	2.526513e-05	1.466660e-06	4.591450e-06
4.400000e+01	4.800000e+01	3.292725e-05	5.672575e-06	1.081177e-05
4.800000e+01	5.200000e+01	4.226653e-05	7.619075e-06	8.797050e-06
5.200000e+01	5.600000e+01	4.567765e-05	6.941725e-06	1.207868e-05
5.600000e+01	6.000000e+01	5.096655e-05	1.273565e-05	1.074267e-05
6.000000e+01	6.400000e+01	5.538315e-05	1.509862e-05	1.686192e-05
6.400000e+01	6.800000e+01	5.517163e-05	1.274372e-05	1.619032e-05
6.800000e+01	7.200000e+01	6.081840e-05	1.366875e-05	9.823250e-06
7.200000e+01	7.600000e+01	6.396140e-05	1.810212e-05	8.624350e-06
7.600000e+01	8.000000e+01	6.361997e-05	1.011970e-05	3.196563e-05
8.000000e+01	8.400000e+01	7.183665e-05	1.506992e-05	1.719258e-05
8.400000e+01	8.800000e+01	6.190590e-05	1.135563e-05	2.606095e-05
8.800000e+01	9.200000e+01	6.032925e-05	1.079588e-05	3.604458e-05
9.200000e+01	9.600000e+01	7.033888e-05	1.777398e-05	1.775835e-05
9.600000e+01	1.000000e+02	6.113085e-05	1.703765e-05	1.247648e-05
1.000000e+02	1.040000e+02	5.622945e-05	1.034537e-05	2.305137e-05
1.040000e+02	1.080000e+02	5.715458e-05	1.192708e-05	2.373195e-05
1.080000e+02	1.120000e+02	6.163052e-05	1.901440e-05	8.473650e-06
1.120000e+02	1.160000e+02	5.186350e-05	1.324565e-05	2.109707e-05
