# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
#RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
XLabel=$H_{T}(\text{jets})$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$ \text{d} \sigma/ \text{d}  H_{T}(\text{jets})$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/HT_jets
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	8.000000e+01	3.867175e-03	6.343750e-05	4.254500e-05
8.000000e+01	1.200000e+02	1.209333e-02	5.148700e-04	3.713500e-04
1.200000e+02	1.600000e+02	1.144438e-02	5.877000e-04	4.513875e-04
1.600000e+02	2.000000e+02	7.900163e-03	3.485100e-04	2.421125e-04
2.000000e+02	2.400000e+02	4.911767e-03	2.573000e-04	9.102500e-05
2.400000e+02	2.800000e+02	2.952787e-03	1.166750e-04	7.018750e-05
2.800000e+02	3.200000e+02	1.716220e-03	3.000000e-09	5.472425e-05
3.200000e+02	3.600000e+02	1.038647e-03	4.885175e-05	1.654250e-05
3.600000e+02	4.000000e+02	6.494725e-04	2.294250e-05	0.000000e+00
4.000000e+02	4.400000e+02	3.992143e-04	0.000000e+00	6.680750e-06
4.400000e+02	4.800000e+02	2.460347e-04	0.000000e+00	1.988830e-05
4.800000e+02	5.200000e+02	1.667455e-04	2.632975e-06	3.841400e-06
5.200000e+02	5.600000e+02	1.557249e-04	4.956160e-05	0.000000e+00
5.600000e+02	6.000000e+02	7.945890e-05	8.601743e-05	0.000000e+00
6.000000e+02	6.400000e+02	5.423570e-05	4.095200e-06	8.422775e-06
6.400000e+02	6.800000e+02	3.781990e-05	9.529475e-06	1.290925e-06
6.800000e+02	7.200000e+02	3.079995e-05	2.839525e-06	0.000000e+00
7.200000e+02	7.600000e+02	1.962921e-05	0.000000e+00	3.958175e-06
7.600000e+02	8.000000e+02	1.389693e-05	0.000000e+00	4.145913e-06
8.000000e+02	8.400000e+02	1.476022e-05	2.420818e-06	0.000000e+00
8.400000e+02	8.800000e+02	5.316647e-06	0.000000e+00	6.032758e-06
8.800000e+02	9.200000e+02	8.624598e-06	0.000000e+00	1.365205e-05
9.200000e+02	9.600000e+02	3.647800e-06	4.027349e-06	3.086975e-06
9.600000e+02	1.000000e+03	4.190317e-06	0.000000e+00	1.034170e-06
1.000000e+03	1.040000e+03	3.507887e-06	5.262200e-07	8.852000e-07
1.040000e+03	1.080000e+03	3.053265e-06	8.289053e-07	8.096300e-07
1.080000e+03	1.120000e+03	2.149007e-06	0.000000e+00	1.753663e-06
1.120000e+03	1.160000e+03	2.281688e-06	8.073105e-07	0.000000e+00
1.160000e+03	1.200000e+03	6.029825e-06	4.824426e-06	0.000000e+00
1.200000e+03	1.240000e+03	1.230189e-06	1.961800e-08	2.144603e-07
1.240000e+03	1.280000e+03	1.129319e-06	3.206278e-07	0.000000e+00
1.280000e+03	1.320000e+03	9.133770e-07	2.485238e-07	2.337405e-07
1.320000e+03	1.360000e+03	4.299485e-07	0.000000e+00	7.888088e-07
1.360000e+03	1.400000e+03	3.978717e-07	0.000000e+00	3.666977e-07
1.400000e+03	1.440000e+03	2.257218e-07	0.000000e+00	4.982630e-07
1.440000e+03	1.480000e+03	3.958475e-07	0.000000e+00	4.867800e-08
1.480000e+03	1.520000e+03	4.883677e-07	1.346877e-07	5.952785e-07
1.520000e+03	1.560000e+03	2.028029e-07	0.000000e+00	2.801914e-07
1.560000e+03	1.600000e+03	4.442892e-07	2.099534e-07	0.000000e+00
1.600000e+03	1.640000e+03	3.548130e-07	1.415828e-07	0.000000e+00
1.640000e+03	1.680000e+03	2.133824e-07	0.000000e+00	8.346386e-07
1.680000e+03	1.720000e+03	2.365832e-07	1.290881e-07	8.432927e-08
1.720000e+03	1.760000e+03	2.095667e-07	1.134243e-07	0.000000e+00
1.760000e+03	1.800000e+03	1.021297e-07	8.885275e-09	1.699284e-07
1.800000e+03	1.840000e+03	7.873545e-08	6.507250e-08	1.316631e-07
1.840000e+03	1.880000e+03	1.555361e-07	6.613018e-08	4.567560e-08
1.880000e+03	1.920000e+03	8.595043e-08	1.923623e-07	3.048613e-08
1.920000e+03	1.960000e+03	9.193515e-08	1.063205e-07	0.000000e+00
1.960000e+03	2.000000e+03	5.626273e-08	0.000000e+00	5.533410e-08
2.000000e+03	2.040000e+03	6.857485e-08	5.955300e-09	5.946550e-09
2.040000e+03	2.080000e+03	4.559048e-08	2.928151e-08	3.653515e-08
2.080000e+03	2.120000e+03	3.174467e-08	4.678075e-09	5.852342e-08
2.120000e+03	2.160000e+03	4.996705e-08	1.920190e-08	0.000000e+00
2.160000e+03	2.200000e+03	7.706100e-08	5.177972e-08	0.000000e+00
2.200000e+03	2.240000e+03	2.957190e-08	1.286331e-08	3.700108e-08
2.240000e+03	2.280000e+03	5.053675e-08	3.331465e-08	4.179995e-08
2.280000e+03	2.320000e+03	2.735097e-08	1.064415e-08	2.202368e-08
2.320000e+03	2.360000e+03	5.722135e-08	3.549651e-08	0.000000e+00
2.360000e+03	2.400000e+03	2.694292e-08	8.134900e-09	0.000000e+00
2.400000e+03	2.440000e+03	1.780642e-08	1.189365e-09	1.163645e-08
2.440000e+03	2.480000e+03	1.113709e-08	0.000000e+00	2.030941e-08
2.480000e+03	2.520000e+03	1.762682e-08	4.231608e-09	2.151931e-08
2.520000e+03	2.560000e+03	1.088927e-08	0.000000e+00	1.467073e-08
2.560000e+03	2.600000e+03	1.896467e-08	1.225145e-08	1.190053e-08
2.600000e+03	2.640000e+03	1.029641e-08	5.290533e-09	1.966567e-08
2.640000e+03	2.680000e+03	1.354292e-08	6.771058e-09	5.394893e-09
2.680000e+03	2.720000e+03	4.267927e-09	0.000000e+00	3.754207e-08
2.720000e+03	2.760000e+03	7.991092e-09	1.984900e-09	3.757357e-09
2.760000e+03	2.800000e+03	8.236980e-09	3.916260e-09	4.413757e-09
2.800000e+03	2.840000e+03	9.049135e-09	3.836185e-09	0.000000e+00
2.840000e+03	2.880000e+03	5.297650e-09	6.031575e-10	7.720432e-09
2.880000e+03	2.920000e+03	6.557672e-09	3.073465e-09	2.755000e-12
2.920000e+03	2.960000e+03	4.269540e-09	2.962726e-08	6.006325e-09
2.960000e+03	3.000000e+03	2.339858e-09	0.000000e+00	4.031770e-09
3.000000e+03	3.040000e+03	1.516988e-09	1.824341e-09	2.225440e-09
3.040000e+03	3.080000e+03	1.141156e-09	0.000000e+00	3.846937e-09
3.080000e+03	3.120000e+03	6.224818e-09	4.290664e-09	0.000000e+00
3.120000e+03	3.160000e+03	2.747182e-09	2.731167e-10	1.429161e-08
