# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
RatioPlotYLabel=Ratio
Scale=1000.0
XLabel=$p_{T,hj_1}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,hj_1}^{incl}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/Hj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	9.291687e-04	8.251630e-05	5.200030e-05
1.000000e+01	2.000000e+01	3.815507e-03	1.276420e-04	2.316560e-04
2.000000e+01	3.000000e+01	1.416584e-02	1.602170e-03	1.538620e-03
3.000000e+01	4.000000e+01	2.924547e-02	3.703660e-03	2.989150e-03
4.000000e+01	5.000000e+01	3.218039e-02	2.350000e-03	1.682260e-03
5.000000e+01	6.000000e+01	2.832525e-02	8.813700e-04	7.017300e-04
6.000000e+01	7.000000e+01	2.250025e-02	9.818500e-04	0.000000e+00
7.000000e+01	8.000000e+01	1.669673e-02	2.467600e-04	0.000000e+00
8.000000e+01	9.000000e+01	1.200709e-02	1.925200e-04	1.696600e-04
9.000000e+01	1.000000e+02	8.509369e-03	1.208690e-04	4.590820e-04
1.000000e+02	1.100000e+02	6.322527e-03	3.486210e-04	0.000000e+00
1.100000e+02	1.200000e+02	4.362721e-03	1.097320e-04	1.097710e-04
1.200000e+02	1.300000e+02	3.161568e-03	1.495690e-04	5.631900e-05
1.300000e+02	1.400000e+02	2.287352e-03	8.092000e-06	1.906700e-04
1.400000e+02	1.500000e+02	1.654251e-03	1.486800e-05	7.032800e-05
1.500000e+02	1.600000e+02	1.193587e-03	0.000000e+00	6.134500e-05
1.600000e+02	1.700000e+02	9.017561e-04	4.235880e-05	8.590100e-05
1.700000e+02	1.800000e+02	6.254737e-04	0.000000e+00	7.327300e-05
1.800000e+02	1.900000e+02	5.010666e-04	1.500880e-05	3.118260e-05
1.900000e+02	2.000000e+02	4.026590e-04	2.758710e-05	4.192800e-06
2.000000e+02	2.100000e+02	2.830973e-04	0.000000e+00	3.658890e-05
2.100000e+02	2.200000e+02	2.742855e-04	6.672490e-05	0.000000e+00
2.200000e+02	2.300000e+02	1.769800e-04	1.124460e-05	0.000000e+00
2.300000e+02	2.400000e+02	1.534825e-04	3.363730e-05	0.000000e+00
2.400000e+02	2.500000e+02	1.051211e-04	8.092020e-06	2.049440e-05
2.500000e+02	2.600000e+02	1.002972e-04	0.000000e+00	6.194000e-06
2.600000e+02	2.700000e+02	7.392996e-05	9.205780e-06	7.343670e-06
2.700000e+02	2.800000e+02	6.015999e-05	5.279260e-06	0.000000e+00
2.800000e+02	2.900000e+02	5.188537e-05	6.960630e-06	6.786000e-07
2.900000e+02	3.000000e+02	4.416224e-05	5.922710e-06	0.000000e+00
3.000000e+02	3.100000e+02	3.081291e-05	0.000000e+00	6.413900e-06
3.100000e+02	3.200000e+02	3.087552e-05	1.183023e-05	0.000000e+00
3.200000e+02	3.300000e+02	2.291256e-05	2.524970e-06	4.915360e-06
3.300000e+02	3.400000e+02	1.662726e-05	1.325616e-05	7.645260e-06
3.400000e+02	3.500000e+02	1.559542e-05	2.101280e-06	2.251540e-06
3.500000e+02	3.600000e+02	1.461482e-05	2.349730e-06	5.166790e-06
3.600000e+02	3.700000e+02	1.682997e-05	4.702330e-06	1.418010e-06
3.700000e+02	3.800000e+02	9.468511e-06	0.000000e+00	4.279439e-06
3.800000e+02	3.900000e+02	1.631259e-05	6.002160e-06	0.000000e+00
3.900000e+02	4.000000e+02	9.714672e-06	1.625579e-06	0.000000e+00
4.000000e+02	4.100000e+02	7.231817e-06	1.360670e-06	0.000000e+00
4.100000e+02	4.200000e+02	7.129121e-06	2.319047e-06	0.000000e+00
4.200000e+02	4.300000e+02	5.495490e-06	1.028314e-06	1.396702e-06
4.300000e+02	4.400000e+02	4.308419e-06	4.186470e-07	1.398014e-06
4.400000e+02	4.500000e+02	2.556811e-06	8.448320e-07	2.377741e-06
4.500000e+02	4.600000e+02	3.194310e-06	3.145700e-08	6.141000e-09
4.600000e+02	4.700000e+02	2.932059e-06	0.000000e+00	1.667963e-06
4.700000e+02	4.800000e+02	3.019946e-06	1.706671e-06	9.437200e-08
4.800000e+02	4.900000e+02	3.474493e-06	1.752268e-06	0.000000e+00
4.900000e+02	5.000000e+02	2.361336e-06	1.557880e-07	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
