# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass
RatioPlotYLabel=Ratio
Scale=1000.0
XLabel=$m_{j_1j_3}$ (GeV)
LegendAlign=r
XMax=1000.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_3}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/j1j3_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	3.969897e-05	2.668000e-07	2.401050e-06
4.000000e+01	8.000000e+01	4.778012e-04	3.364850e-05	4.264350e-05
8.000000e+01	1.200000e+02	5.144118e-04	5.003625e-05	1.735575e-05
1.200000e+02	1.600000e+02	2.900717e-04	1.845075e-05	2.419600e-05
1.600000e+02	2.000000e+02	1.504070e-04	8.341250e-06	1.890480e-05
2.000000e+02	2.400000e+02	8.615970e-05	1.392365e-05	0.000000e+00
2.400000e+02	2.800000e+02	6.640710e-05	1.319452e-05	0.000000e+00
2.800000e+02	3.200000e+02	4.187370e-05	0.000000e+00	6.315900e-06
3.200000e+02	3.600000e+02	4.298675e-05	3.309800e-06	7.637200e-06
3.600000e+02	4.000000e+02	4.324063e-05	1.583550e-06	1.063050e-06
4.000000e+02	4.400000e+02	4.695810e-05	6.195125e-06	1.572900e-06
4.400000e+02	4.800000e+02	4.771767e-05	4.098675e-06	4.681200e-06
4.800000e+02	5.200000e+02	4.714468e-05	2.131775e-06	4.517150e-06
5.200000e+02	5.600000e+02	5.114755e-05	6.607275e-06	1.275650e-06
5.600000e+02	6.000000e+02	4.775142e-05	0.000000e+00	2.633000e-06
6.000000e+02	6.400000e+02	5.070057e-05	5.568500e-06	1.464150e-06
6.400000e+02	6.800000e+02	4.723890e-05	2.096925e-06	1.809775e-06
6.800000e+02	7.200000e+02	4.701720e-05	4.669300e-06	2.060300e-06
7.200000e+02	7.600000e+02	4.389535e-05	1.545450e-06	8.544150e-06
7.600000e+02	8.000000e+02	4.132225e-05	1.734500e-07	5.355475e-06
8.000000e+02	8.400000e+02	4.281890e-05	2.498300e-06	5.010775e-06
8.400000e+02	8.800000e+02	4.071762e-05	0.000000e+00	5.394300e-06
8.800000e+02	9.200000e+02	4.005067e-05	2.586650e-06	3.339300e-06
9.200000e+02	9.600000e+02	3.811818e-05	1.330325e-06	2.438575e-06
9.600000e+02	1.000000e+03	3.697730e-05	1.503375e-06	2.291100e-06
1.000000e+03	1.040000e+03	3.522958e-05	1.051100e-06	4.816025e-06
1.040000e+03	1.080000e+03	3.482615e-05	3.487925e-06	1.177775e-06
1.080000e+03	1.120000e+03	3.424942e-05	3.900950e-06	5.809750e-07
1.120000e+03	1.160000e+03	3.216377e-05	3.150275e-06	1.960775e-06
1.160000e+03	1.200000e+03	2.892847e-05	1.819800e-06	1.857725e-06
1.200000e+03	1.240000e+03	2.770477e-05	1.981175e-06	2.109975e-06
1.240000e+03	1.280000e+03	2.604162e-05	1.509667e-06	1.666100e-06
1.280000e+03	1.320000e+03	2.859875e-05	4.414587e-06	0.000000e+00
1.320000e+03	1.360000e+03	2.340184e-05	4.854975e-07	2.188955e-06
1.360000e+03	1.400000e+03	2.318121e-05	2.222480e-06	4.611950e-07
1.400000e+03	1.440000e+03	2.064017e-05	7.866575e-07	2.908160e-06
1.440000e+03	1.480000e+03	2.050703e-05	2.224647e-06	2.802468e-06
1.480000e+03	1.520000e+03	1.991500e-05	2.622132e-06	0.000000e+00
1.520000e+03	1.560000e+03	1.695654e-05	6.155295e-06	2.792123e-06
1.560000e+03	1.600000e+03	1.618913e-05	8.523775e-07	1.470430e-06
1.600000e+03	1.640000e+03	1.557236e-05	2.221745e-06	1.230132e-06
1.640000e+03	1.680000e+03	1.441057e-05	8.547475e-07	1.577230e-06
1.680000e+03	1.720000e+03	1.432692e-05	2.202107e-06	1.126108e-06
1.720000e+03	1.760000e+03	1.304262e-05	2.803675e-07	1.681125e-06
1.760000e+03	1.800000e+03	1.511923e-05	3.326665e-06	0.000000e+00
1.800000e+03	1.840000e+03	1.050219e-05	0.000000e+00	2.749375e-06
1.840000e+03	1.880000e+03	8.266392e-06	0.000000e+00	2.785858e-06
1.880000e+03	1.920000e+03	1.074344e-05	1.639442e-06	1.113150e-07
1.920000e+03	1.960000e+03	9.962612e-06	5.314025e-07	5.570500e-07
1.960000e+03	2.000000e+03	7.973767e-06	2.887750e-07	1.199205e-06
2.000000e+03	2.040000e+03	8.620887e-06	1.234725e-06	5.565075e-07
2.040000e+03	2.080000e+03	8.094573e-06	9.229750e-07	5.778225e-07
2.080000e+03	2.120000e+03	7.937000e-06	1.344330e-06	2.009925e-07
2.120000e+03	2.160000e+03	6.675105e-06	5.105275e-07	3.569250e-08
2.160000e+03	2.200000e+03	6.604817e-06	7.864400e-07	0.000000e+00
2.200000e+03	2.240000e+03	6.343880e-06	1.546037e-06	1.435510e-06
2.240000e+03	2.280000e+03	5.640302e-06	7.475650e-07	3.359250e-07
2.280000e+03	2.320000e+03	5.718522e-06	8.223950e-07	9.705700e-07
